epoch,train_loss,eval_loss,rouge1,rouge2,rougeLsum,learning_rate,gpu_usage,cpu_usage
1,1.051954223588109,1.0196010933035895,0.055605448238557766,0.03058253757316599,0.049170830665473765,9.51080773606371e-05,94.23828125,7.6
2,0.9736227776381102,1.0044082911241623,0.05607112231287854,0.03079570185155784,0.04933536508498254,9.01023890784983e-05,94.23828125,7.6
3,0.968420483707027,1.0030651614779518,,,,8.509670079635951e-05,94.23828125,7.6
4,0.9646381080963394,1.0029483534040906,,,,8.009101251422071e-05,94.23828125,9.2
5,0.9621546786888079,1.0024341063840048,,,,7.508532423208191e-05,94.23828125,8.0
6,0.960048479939049,1.0028671105702718,,,,7.007963594994313e-05,94.23828125,7.6
7,0.9589434924044392,1.0006340424219766,,,,6.507394766780433e-05,94.23828125,7.6
8,0.9576740092987364,1.002048722051439,,,,6.0068259385665536e-05,94.23828125,7.6
9,0.9563699122721498,1.0039463346912747,,,,5.5062571103526736e-05,94.23828125,7.6
10,0.9554895795610818,1.0027435705775307,,,,5.005688282138794e-05,94.23828125,7.6
11,0.9545124970241027,1.0026356597741446,,,,4.505119453924915e-05,94.23828125,7.8
12,0.9533203904533928,1.0032913168271382,,,,4.004550625711036e-05,94.23828125,8.0
13,0.9525591669570316,1.0027242419265565,,,,3.5039817974971564e-05,94.23828125,7.6
14,0.951493165587837,1.0063664822351366,,,,3.0034129692832768e-05,94.23828125,7.6
15,0.9508822720904242,1.005947079261144,,,,2.502844141069397e-05,94.23828125,7.6
16,0.9501331022381783,1.005191319329398,,,,2.002275312855518e-05,94.23828125,7.6
17,0.9491016963937066,1.0056489899044945,,,,1.5017064846416384e-05,94.23828125,7.7
18,0.9479813722859729,1.0075984605721064,,,,1.001137656427759e-05,94.23828125,7.6
19,0.9474104597893628,1.0079536562874203,,,,5.005688282138795e-06,94.23828125,7.8
20,0.9466562954268672,1.0081835729735238,,,,0.0,94.23828125,5.2
